Comment,Designator,Footprint,LCSC,Quantity
100nF,"C3,C4",C_0402_1005Metric,C1525,2
10uF,C5,C_0402_1005Metric,C15525,1
1K,R2,R_0402_1005Metric,C11702,1
1uF,"C1,C2",C_0402_1005Metric,C52923,2
390K,R1,R_0402_1005Metric,C25557,1
C,100nF1,C_0402_1005Metric,C1525,1
D,"D1,D2,D3,D4,D5,D6,D7,D8,D9",D_SOD-323,C1046,9
SK6812MINI-E,"D10,D11,D12,D13,D14,D15,D16,D17,D18",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,C5149201,9
SW_Push,"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9",SW_Cherry_MX_1.00u_PCB,C6482,9
RotaryEncoder,SW10,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,,1
XIAO-RP2350-SMD,U1,XIAO-RP2350-SMD,,1
OLED-128O064D,DS1,OLED-128O064D,,1
