Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
100nF1,C,C_0402_1005Metric,264.24,-45.96,0.0,top
C1,1uF,C_0402_1005Metric,248.34,-44.93,180.0,top
C2,1uF,C_0402_1005Metric,245.89,-44.94,0.0,top
C3,100nF,C_0402_1005Metric,250.76,-45.24,135.0,top
C4,100nF,C_0402_1005Metric,254.78,-45.48,45.0,top
C5,10uF,C_0402_1005Metric,264.3,-44.9,0.0,top
D1,D,D_SOD-323,240.665,-61.990001,90.0,top
D10,SK6812MINI-E,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,231.648,-70.866,0.0,top
D11,SK6812MINI-E,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,254.9652,-70.866,0.0,top
D12,SK6812MINI-E,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,278.2824,-70.866,0.0,top
D13,SK6812MINI-E,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,231.775,-92.475,0.0,top
D14,SK6812MINI-E,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,255.05,-92.475,0.0,top
D15,SK6812MINI-E,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,278.45,-92.475,0.0,top
D16,SK6812MINI-E,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,232.225,-114.425,0.0,top
D17,SK6812MINI-E,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,255.425,-114.2,0.0,top
D18,SK6812MINI-E,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,278.9,-114.375,0.0,top
D2,D,D_SOD-323,263.525,-62.23,90.0,top
D3,D,D_SOD-323,286.385,-62.23,90.0,top
D4,D,D_SOD-323,286.385,-103.900001,90.0,top
D5,D,D_SOD-323,242.57,-104.775,90.0,top
D6,D,D_SOD-323,263.525,-103.505,90.0,top
D7,D,D_SOD-323,286.385,-84.694999,90.0,top
D8,D,D_SOD-323,263.525,-82.55,90.0,top
D9,D,D_SOD-323,240.03,-84.059999,90.0,top
DS1,OLED-128O064D,OLED-128O064D,254.7,-42.945001,0.0,top
R1,390K,R_0402_1005Metric,261.680001,-45.25,0.0,top
R2,1K,R_0402_1005Metric,252.72,-45.08,0.0,top
SW1,SW_Push,SW_Cherry_MX_1.00u_PCB,231.92,-59.53,0.0,top
SW10,RotaryEncoder,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,230.2,-39.975,0.0,top
SW2,SW_Push,SW_Cherry_MX_1.00u_PCB,255.11,-59.4,0.0,top
SW3,SW_Push,SW_Cherry_MX_1.00u_PCB,278.3,-59.39,0.0,top
SW4,SW_Push,SW_Cherry_MX_1.00u_PCB,231.45,-103.27,0.0,top
SW5,SW_Push,SW_Cherry_MX_1.00u_PCB,255.27,-102.05,0.0,top
SW6,SW_Push,SW_Cherry_MX_1.00u_PCB,278.13,-102.05,0.0,top
SW7,SW_Push,SW_Cherry_MX_1.00u_PCB,231.76,-80.98,0.0,top
SW8,SW_Push,SW_Cherry_MX_1.00u_PCB,255.27,-80.98,0.0,top
SW9,SW_Push,SW_Cherry_MX_1.00u_PCB,278.13,-81.095,0.0,top
U1,XIAO-RP2350-SMD,XIAO-RP2350-SMD,279.17,-39.185189,90.0,top
